Key	Wikidata ID	Description
Abbott, W M (historian)	Q109908818	W. M. Abbott.
Abbott, Wilbur Cortez (historian)	Q8000161	Wilbur Cortez Abbott
Abell, Henry Francis (historian)	Q106840184	Henry Francis Abell. Local historian of Kent.
Abram, Andrew (historian)	Q87183589	Andrew Abram
Adair, John (historian)	Q3180864	John Adair
Adams, Matthew (historian)	Q109908819	Matthew Adams.
Adamson, John (historian)	Q86982711	John Sonley Anthony Adamson
Adey, K R (historian)		K. R. Adey. ''Midland History'' article on Staffordshire.
Adolph, Anthony (historian)	Q86982712	Anthony R. J. S. Adolph. Genealogist and historian of English Catholics.
Akkerman, Nadine (historian)	Q57018155	Nadine Akkerman
Al-Akhras, Sharihan Sameer Ata (literary scholar)	Q109908821	Sharihan Sameer Ata Al-Akhras.
Aldcroft, Derek Howard (historian)	Q55949319	Derek Howard Aldcroft. Economic historian. Mostly modern.
Aldous, Vivienne E (historian)	Q87184621	Vivienne E. Aldous
Allen, Richard C (historian)	Q47127785	Richard C. Allen.
Allison, Keith J (archaeologist)	Q58438493	Keith John Allison. Archaeologist working on deserted villages. Also landscape historian and editor of Victoria County History.
Allsopp, Niall (literary scholar)	Q109908822	Niall Allsopp.
Alsop, J D (historian)	Q124151400	James D. Alsop. Emeritus Professor at McMaster University, Canada. Financial, maritime and medical historian. Contributor to Journal of the Society for Army Historical Research.
Amussen, Susan D (historian)	Q60058789	Susan Dwyer Amussen
Anderson, Olive (historian)	Q68907402	Olive Anderson.
Anderson, Virginia DeJohn (historian)	Q87185443	Virginia DeJohn Anderson
Andrewes, Jane E (historian)	Q109908823	Jane E. Andrewes.
Andriette, Eugene A (historian)	Q87183988	Eugene Arthur Andriette
Anker, Victoria Lesley (historian)	Q109908824	Victoria Lesley Anker.
Appleby, David (historian)	Q63283429	David Jarvis Appleby. Nottingham University.
Appleby, John C (historian)	Q87184622	John C. Appleby
Appleton, Stephanie (historian)	Q86982713	Stephanie Jane Appleton
Apt, Adam Jared (historian)	Q109908825	Adam Jared Apt.
Arch, Nigel (curator)	Q87185445	Nigel Arch
Archer, Ian Wallace (historian)	Q16148152	Ian Wallace Archer
Archer, John Leslie (historian)		John Leslie Archer. 1934 MA dissertation about industrial history of London.
Archibald, Steve (historian)		Steve Archibald. Book about English Civil War flags.
Argent, Alan (historian)	Q109908826	Alan Argent.
Armitage, David (historian)	Q1173587	David Armitage
Armstrong, Robert (historian)	Q123668406	Robert Matthew Armstrong. PhD from Trinity College Dublin. 'Long Parliament Goes to War' article about war in Ireland.
Armstrong, Walter Alan (historian)	Q106833020	Walter Alan Armstrong (born 1936). Local and economic historian studying Kent and other places.
Asch, Ronald G (historian)	Q2165608	Ronald G. Asch
Ashley, Maurice (historian)	Q6792842	Maurice Ashley.
Ashton, Robert (historian)	Q14946717	Robert Ashton
Askew, Rachel (archaeologist and historian)	Q44181352	Rachel M. C. Askew. Works on castles and material culture.
Asquith, Stuart (historian)	Q87183649	Stuart Asquith
Astley-Boden, Micheline (historian)	Q95376627	Micheline Jessica Astley-Boden. Thesis on religious violence in English Civil War.
Atherton, Ian (historian)	Q58794014	Ian Jeffrey Atherton
Atkin, Malcolm (historian)	Q64155534	Malcolm Atkin
Atkinson, J A (historian)	Q15961751	James Augustus Atkinson. Historian of Cheshire
Atkinson, John Christopher (historian)	Q6226064	John Christopher Atkinson
Auden, J E (historian)	Q76104656	Rev. John Ernest Auden. Clergyman, local historian of Shropshire, and contributor to Journal of the Society for Army Historical Research.
Auden, Thomas (historian)	Q106833302	Thomas Auden (1836-1920). Clergyman and local historian of Shropshire.
Axon, Ernest (historian)	Q15948430	Ernest Charles Armytage Axon
Aylmer, G E (historian)	Q5548898	Gerald Edward Aylmer
Azad, Yusef (literary scholar)	Q109908828	Yusef Azad.
Babits, Lawrence Edward (archaeologist)	Q6503835	Lawrence Edward Babits
Bachrach, Fred (historian)	Q5494510	Alfred Gustave Herbert Bachrach, aka Fred Bachrach. Literary and art historian.
Baer, William C (historian)	Q86982714	William C. Baer
Bailey, Sarah Barter (curator)	Q87183993	Sarah Barter Bailey. Curator at Royal Armouries.
Baker, Geoff (historian)	Q109908829	Geoff Baker.
Baker, Philip (historian)	Q106840342	Philip Robert Samuel Baker, aka Phil Baker (born 1973). History of Parliament, radicalism, St Botolph Aldgate.
Baker, W T (historian)		W. T. Baker. Local historian of Nottinghamshire.
Balchin, W G V (geographer)	Q18531011	William George Victor Balchin, aka Bill Balchin. Geographer and landscape historian.
Ball, R M (historian)		R. M. Ball. Legal historian.
Ball, Ronald G (historian)	Q124331863	Ronald G. Ball. Contributor to Journal of the Society for Army Historical Research. Curator of Scottish United Services Museum.
Bamford, Francis (historian)	Q87183994	Francis Bamford
Bannard, H E (historian)	Q123668407	H. E. Bannard. Local historian of Berkshire and Thames valley. Published articles on civil war committees 1920s-30s
Barber, Norman (historian)		Norman Barber. Partizan Press book about Richard Norton's horse regiment.
Barber, Sarah (historian)	Q64626679	Sarah Elvira Barber
Barclay, Andrew (historian)	Q87183996	Andrew Barclay
Barclay, Katie E (historian)	Q58450141	Katie E. Barclay.
Barcroft, Robert (historian)		Robert Barcroft. Garrisons and sieges.
Barker, Sara K (historian)	Q66739933	Sara K. Barker
Barlow, Thomas Worthington (historian)	Q7795317	Thomas Worthington Barlow
Barnard, John (historian)		John Barnard. Book historian.
Barnard, Toby (historian)	Q20090229	Toby C. Barnard. Middle name probably Christopher but not confirmed.
Barnes, Thomas Garden (historian)	Q106452284	Thomas Garden Barnes.
Barratt, John (historian)	Q87183652	John Barratt
Barry, Jonathan (historian)	Q60966232	Jonathan Barry
Barry, Quintin (historian)	Q87183653	Quintin Barry
Barton, Thomas F (historian)	Q87184624	Thomas Frederick Barton
Baskerville, Stephen K (historian)	Q7608673	Stephen K. Baskerville. Political scientist and historian of puritanism.
Bastow, Sarah L (historian)	Q113791525	Sarah L. Bastow. Thesis University of Huddersfield (2002): Aspects of the history of the Catholic gentry of Yorkshire from the Pilgrimage of Grace to the First Civil War.
Bates, Frederic Alan (historian)	Q75427491	Frederic Alan Bates (1884-1957). Edited Graves memoirs. Also chairman of Cunard.
Bates, Lucy-Ann (historian)	Q109908830	Lucy-Ann Bates.
Bath, Joanna (historian)	Q109908832	Joanna Bath.
Batten, John (historian)	Q123668408	John Batten. Local historian of Somerset active in 1870.
Baumber, Michael L (historian)	Q87183591	Michael Leslie Baumber
Bayley, Arthur Rutter (historian)	Q106840372	Arthur Rutter Bayley (born 1868). Local historian of Dorset.
Beale, Stewart (historian)	Q86982715	Stewart John Beale
Bearman, Robert (historian)	Q124342178	Robert Bearman. Archivist and local historian. Employed by Shakespeare Institute, Birmingham and formerly at Shakespeare Birthplace Trust. Contributor to Midland History.
Beats, Lynn (historian)	Q87183658	Lynn Beats
Beatty, John Louis (historian)	Q59628466	John Louis Beatty
Beaven, Alfred B (historian)	Q87183997	Alfred B. Beaven
Beaver, Daniel C (historian)	Q87185446	Daniel C. Beaver
Becker, Lucinda M (literary scholar)	Q87185448	Lucinda M. Becker aka Cindy Becker. Professor of English Literature at Reading University.
Beckett, Ian F W (historian)	Q87183999	Ian F. W. Beckett
Beckles, Hilary MacDonald (historian)	Q5760891	Sir Hilary MacDonald Beckles. Thesis University of Hull (1980): White labour in black slave plantation society and economy: a case study of indentured labour in seventeenth century Barbados. Many publications about Barbados and slavery.
Beddard, R A (historian)	Q88646832	R. A. Beddard. ''Midland History'' article on bishopric of Worcester.
Bedford, Ronald (literary scholar)	Q87185450	Ronald Bedford
Beesley, Edward (historian)	Q109908833	Edward Andrew Vivian Beesley.
Begiato, Joanne (historian)	Q66827518	Joanne Begiato aka Joanne Bailey.
Beier, A L (historian)	Q87184627	A. L. Beier
Beier, L M (historian)	Q109908834	Lucinda McCray Beier.
Belford, Paul (archaeologist)	Q79101772	Paul Belford.
Belin, Mandy de (historian)	Q87185452	Amanda Jayne de Belin, aka Mandy de Belin. Landscape and horse historian.
Bell, Erin A (historian)	Q109908835	Erin Alison Bell.
Bell, Mark R (historian)	Q123668409	Mark Robert Bell.
Bell, Maureen (historian)	Q109908836	Maureen Bell.
Bell, Patricia L (historian)	Q86982716	Patricia L. Bell
Bell, Robert (literary scholar)	Q7342007	Robert Bell. Edited Fairfax correspondence.
Bellany, Alastair (historian)	Q87185454	Alastair James Bellany
Ben-Amos, Ilana Krausman (historian)	Q5997064	Ilana Krausman Ben-Amos
Bendall, Sarah (geographer)	Q86982718	Alison Sarah Bendall, historical geographer. May sometimes be known as Sarah A. Bendall but not same as clothing historian. Wrote about old maps of Cambridgeshire.
Bendall, Sarah Anne (historian)	Q86982719	Sarah Anne Bendall
Bennett, Martyn (historian)	Q87183665	Martyn Bennett
Bennett, Matthew (historian)	Q6790149	Matthew Bennett. Medieval military historian.
Bennett, Ronan (historian)	Q381603	Ronan A. H. Bennett. Novelist, screenwriter and historian.
Berlin, Michael (historian)	Q123668410	Michael Berlin. Birkbeck. London livery companies.
Bernard, Georges (historian)	Q21506008	Georges Bernard. Edited Walsingham's life of Digby.
Berry, Elizabeth (historian)		Elizabeth Berry. Local historian of Buckinghamshire.
Berry, Helen (historian)	Q57274878	Helen Berry
Bettey, Joseph H (historian)	Q87185455	Joseph Harold Bettey
Betts, Sarah (historian)		Sarah Betts. PhD student at University of York, UK. Studying memories of royalists.
Bigmore, Peter (geographer)	Q121085626	Peter Bigmore. Historical geographer and landscape historian.
Binns, Jack (historian)	Q64155420	Jack Binns
Birch, Thomas (historian)	Q556043	Thomas Birch. Editor of Thurloe State Papers.
Birchwood, Matthew (literary scholar)	Q109908837	Matthew Birchwood.
Bishai, Nadia (literary scholar)		Nadia Bishai. Thesis Middlesex University (2005): Writing the criminalized body: the body in the construction of female subjectivity in English women's writing c.1540-1640. Managing Director of Swot Tots Publishing Ltd. Probably not same as Nadia Z. Bishai at Alexandria University.
Blaauw, W H (historian)	Q18531029	William Henry Blaauw
Black, Jeremy (historian)	Q5975504	Jeremy Black. Military historian.
Blackham, Robert James (historian)	Q28474240	Major-General Robert James Blackham. Barrister, medical doctor, army officer and author. Wrote history of London livery companies.
Blackmore, David J (historian)	Q87183668	David John Blackmore. Military historian and curator.
Blackwood, B G (historian)	Q87184629	B. G. Blackwood
Blakemore, Richard J (historian)	Q87183671	Richard Jeffery Blakemore. Maritime and naval historian.
Blécourt, Willem de (anthropologist)	Q16148030	Willem de Blécourt
Blencowe, R W (historian)	Q59424923	Robert Willis Blencowe. Editor of Sydney papers.
Blomefield, Francis (antiquary)	Q5480266	Francis Blomefield (1705-1752). Antiquary studying East Anglia.
Blomley, Nicholas (historian)	Q58213380	Nicholas Blomley
Bloxam, M H (historian)	Q6790176	Matthew Holbeche Bloxam
Blundell, Margaret (historian)	Q76307208	Margaret Elizabeth Clementina Mary Blundell
Boehrer, Bruce (literary scholar)	Q87185458	Bruce Thomas Boehrer
Bond, Maurice Francis (historian)	Q52157329	Maurice Francis Bond
Bond, Richmond Pugh (historian)	Q59627150	Richmond Pugh Bond. Historian and literary scholar.
Booy, David (literary scholar)	Q87184146	David Booy
Bostridge, Ian (historian)	Q569378	Ian Bostridge. Historian of witchcraft. Also professional singer.
Botelho, Lynn (historian)	Q87185465	Lynn Botelho
Boulton, Jeremy P (historian)	Q87184630	Jeremy P. Boulton
Bowen, Lloyd (historian)	Q47129389	Lloyd Bowen
Bowles, William Henry (historian)		William Henry Bowles. Local historian of Kent and Bowles family.
Boyden, Peter B (historian)	Q87184632	Peter B. Boyden
Boynton, Lindsay (historian)	Q87184149	Lindsay Boynton
Boys, Jayne E E (historian)	Q87184638	Jayne E. E. Boys
Brace, Laura (historian)	Q87185467	Laura Brace. Not same as Laura Branch.
Braddick, Michael J (historian)	Q17742737	Michael Jonathan Braddick
Bradley, Nigel B (historian)		Nigel B. Bradley. Contributor to Journal of the Society for Army Historical Research.
Brady, Andrea (historian)	Q4754984	Andrea Brady
Brailsford, Henry N (historian)	Q2512157	Henry Noel Brailsford. Journalist and historian of journalism.
Brandon, Peter F (archaeologist)	Q56191686	Peter Frank Brandon. Archaeologist and landscape historian.
Braun, Harald E (historian)	Q87185468	Harald E. Braun
Brennan, Elizabeth M (literary scholar)	Q123668411	Elizabeth Mary Brennan.
Brennan, Michael G (literary scholar)	Q112474987	Michael G. Brennan. Thesis University of Oxford (1982): The literary patronage of the Herbert family, Earls of Pembroke, 1550-1640.
Brenner, Robert (historian)	Q329922	Robert Brenner
Brent, C E (historian)	Q109908840	C. E. Brent.
Brent, Judith A (historian)	Q87184640	Judith Anne Brent
Brett-James, N G (historian)	Q87184150	Norman George Brett-James
Brinkworth, E R C (historian)	Q43380424	Edwin Robert Courtney Brinkworth (1901-1978). Historian of Oxfordshire and Warwickshire.
Broad, John (historian)	Q87184642	John Broad
Broadway, Janet R (historian)	Q109908841	Janet Rosemary Broadway, aka Jan Broadway.
Brochard, Thomas (historian)	Q109908842	Thomas Brochard.
Brogan, Boyd (literary scholar)	Q123668412	Boyd Brogan.
Bromley, George (historian)	Q75374644	Sir George Pauncefote-Bromley, 2nd Baronet
Brookes, Anne (historian)	Q109908843	Anne Brookes.
Brooks, Christopher W (historian)	Q86982720	Christopher Wilson Brooks
Brooks, Scott A (literary scholar)	Q109908844	Scott A. Brooks.
Broomhall, Susan (historian)	Q56391726	Susan Broomhall
Broughton, Heather E (historian)	Q87184644	Heather E. Broughton
Browell, Geoffrey Charles (historian)	Q109908845	Geoffrey Charles Browell.
Brown, Cynthia (1948-, historian)	Q87184645	Cynthia Brown (born 1948). Local and oral historian studying Leicestershire.
Brown, David (historian)	Q112678837	David Brown. PhD Trinity College Dublin. Book on Irish Adventurers.
Brown, Frederick (historian)	Q87184926	Frederick Brown
Brown, Pamela Allen (literary scholar)	Q87185472	Pamela Allen Brown
Brown, Sylvia (literary scholar)	Q87185474	Sylvia Monica Brown
Brownlees, Nicholas (historian)	Q87185693	Nicholas Brownlees
